d,t1,t2,s1,s2,win1,win2
2026-03-28,Mexico,Portugal,0,0,False,False
2026-03-28,Scotland,Japan,0,1,False,True
2026-03-28,United States,Belgium,2,5,False,True
2026-03-29,Colombia,France,1,3,False,True
2026-03-30,Germany,Ghana,2,1,True,False
2026-03-31,Algeria,Uruguay,0,0,False,False
2026-03-31,Austria,South Korea,1,0,True,False
2026-03-31,Brazil,Croatia,3,1,True,False
2026-03-31,Canada,Tunisia,0,0,False,False
2026-03-31,England,Japan,0,1,False,True
2026-03-31,Ivory Coast,Scotland,1,0,True,False
2026-03-31,Mexico,Belgium,1,1,False,False
2026-03-31,Morocco,Paraguay,2,1,True,False
2026-03-31,Netherlands,Ecuador,1,1,False,False
2026-03-31,Norway,Switzerland,0,0,False,False
2026-03-31,South Africa,Panama,1,2,False,True
2026-03-31,Spain,Egypt,0,0,False,False
2026-03-31,United States,Portugal,0,2,False,True
2026-03-31,Australia,Curaçao,5,1,True,False
2026-05-22,Mexico,Ghana,2,0,True,False
2026-05-30,Ecuador,Saudi Arabia,2,1,True,False
2026-05-30,Mexico,Australia,1,0,True,False
2026-05-30,Scotland,Curaçao,4,1,True,False
2026-05-31,Brazil,Panama,6,2,True,False
2026-05-31,Switzerland,Jordan,4,1,True,False
2026-05-31,United States,Senegal,3,2,True,False
2026-06-01,Austria,Tunisia,1,0,True,False
2026-06-01,Canada,Uzbekistan,2,0,True,False
2026-06-01,Norway,Sweden,3,1,True,False
2026-06-02,Croatia,Belgium,0,2,False,True
2026-06-02,Haiti,New Zealand,4,0,True,False
2026-06-03,Netherlands,Algeria,0,1,False,True
2026-06-04,France,Ivory Coast,1,2,False,True
2026-06-04,Spain,Iraq,1,1,False,False
2026-06-06,Australia,Switzerland,1,1,False,False
2026-06-06,Belgium,Tunisia,5,0,True,False
2026-06-06,Brazil,Egypt,2,1,True,False
2026-06-06,England,New Zealand,1,0,True,False
2026-06-06,Panama,Bosnia and Herzegovina,1,1,False,False
2026-06-06,United States,Germany,1,2,False,True
2026-06-07,Jordan,Colombia,0,2,False,True
2026-06-07,Morocco,Norway,1,1,False,False
2026-06-08,Netherlands,Uzbekistan,2,1,True,False
2026-06-09,Saudi Arabia,Senegal,0,0,False,False
